Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
40,1,FTF + FTT,3131,3131,American Studies,"Arts, Entertainment, & Recreation",1,,,,,
40,1,FTF + FTT,3131,3131,American Studies,Accommodation & Food Services,8,"$33,789","$38,842",,,
40,1,FTF + FTT,3131,3131,American Studies,Other Services,1,,,,,
40,1,FTF + FTT,3131,3131,American Studies,Government,2,,,,,
40,1,FTF + FTT,3131,3131,American Studies,Wages - No NAICS Code,3,,,,,
40,1,FTF + FTT,4011,4011,Biology,"Agriculture, Forestry, Fishing, & Hunting",4,,,,,
40,1,FTF + FTT,4011,4011,Biology,Utilities,3,,,,,
40,1,FTF + FTT,4011,4011,Biology,Construction,1,,,,,
40,1,FTF + FTT,4011,4011,Biology,Manufacturing,34,"$54,658","$54,300",2,,
40,1,FTF + FTT,4011,4011,Biology,Wholesale Trade,13,"$85,061","$89,942",,,
40,1,FTF + FTT,4011,4011,Biology,Retail Trade,24,"$19,806","$31,911",5,"$96,728","$121,268"
40,1,FTF + FTT,4011,4011,Biology,Transportation & Warehousing,1,,,1,,
40,1,FTF + FTT,4011,4011,Biology,Information,1,,,,,
40,1,FTF + FTT,4011,4011,Biology,Finance & Insurance,9,"$57,950","$64,561",,,
40,1,FTF + FTT,4011,4011,Biology,Real Estate & Rental & Leasing,1,,,,,
40,1,FTF + FTT,4011,4011,Biology,"Professional, Scientific, & Technical Skills",42,"$52,298","$54,625",6,"$83,908","$72,968"
40,1,FTF + FTT,4011,4011,Biology,Admin & Support & Waste Mgmt & Remediation,18,"$38,385","$45,802",,,
40,1,FTF + FTT,4011,4011,Biology,Educational Services,41,"$55,075","$51,066",2,,
40,1,FTF + FTT,4011,4011,Biology,Health Care & Social Assistance,64,"$35,404","$38,006",5,"$75,445","$69,256"
40,1,FTF + FTT,4011,4011,Biology,"Arts, Entertainment, & Recreation",6,"$22,809","$27,549",1,,
40,1,FTF + FTT,4011,4011,Biology,Accommodation & Food Services,11,"$36,125","$31,459",,,
40,1,FTF + FTT,4011,4011,Biology,Other Services,3,,,1,,
40,1,FTF + FTT,4011,4011,Biology,Government,22,"$60,866","$58,349",4,,
40,1,FTF + FTT,4011,4011,Biology,Wages - No NAICS Code,3,,,1,,
40,1,FTF + FTT,4111,4111,Microbiology,Manufacturing,8,"$53,290","$56,446",1,,
40,1,FTF + FTT,4111,4111,Microbiology,Wholesale Trade,3,,,1,,
40,1,FTF + FTT,4111,4111,Microbiology,Retail Trade,5,"$42,912","$48,631",1,,
40,1,FTF + FTT,4111,4111,Microbiology,Finance & Insurance,1,,,,,
40,1,FTF + FTT,4111,4111,Microbiology,"Professional, Scientific, & Technical Skills",4,,,1,,
40,1,FTF + FTT,4111,4111,Microbiology,Management of Companies & Enterprises,1,,,,,
40,1,FTF + FTT,4111,4111,Microbiology,Educational Services,2,,,1,,
40,1,FTF + FTT,4111,4111,Microbiology,Health Care & Social Assistance,13,"$94,746","$83,340",1,,
40,1,FTF + FTT,4111,4111,Microbiology,Other Services,1,,,,,
40,1,FTF + FTT,4111,4111,Microbiology,Government,4,,,,,
40,1,FTF + FTT,4141,4141,Biochemistry,Construction,1,,,,,
40,1,FTF + FTT,4141,4141,Biochemistry,Manufacturing,23,"$63,763","$61,654",1,,
40,1,FTF + FTT,4141,4141,Biochemistry,Wholesale Trade,3,,,1,,
40,1,FTF + FTT,4141,4141,Biochemistry,Retail Trade,6,"$29,330","$32,007",,,
40,1,FTF + FTT,4141,4141,Biochemistry,"Professional, Scientific, & Technical Skills",13,"$40,815","$41,648",,,
40,1,FTF + FTT,4141,4141,Biochemistry,Admin & Support & Waste Mgmt & Remediation,6,"$44,039","$53,383",,,
40,1,FTF + FTT,4141,4141,Biochemistry,Educational Services,4,,,,,
40,1,FTF + FTT,4141,4141,Biochemistry,Health Care & Social Assistance,18,"$34,228","$38,634",,,
40,1,FTF + FTT,4141,4141,Biochemistry,Accommodation & Food Services,2,,,,,
40,1,FTF + FTT,4141,4141,Biochemistry,Other Services,1,,,,,
40,1,FTF + FTT,4141,4141,Biochemistry,Government,4,,,1,,
40,1,FTF + FTT,4181,4181,Marine Biology,Utilities,,,,1,,
40,1,FTF + FTT,4181,4181,Marine Biology,Construction,2,,,,,
40,1,FTF + FTT,4181,4181,Marine Biology,Manufacturing,2,,,,,
40,1,FTF + FTT,4181,4181,Marine Biology,Wholesale Trade,4,,,2,,
40,1,FTF + FTT,4181,4181,Marine Biology,Retail Trade,3,,,1,,
40,1,FTF + FTT,4181,4181,Marine Biology,Information,1,,,,,
40,1,FTF + FTT,4181,4181,Marine Biology,"Professional, Scientific, & Technical Skills",8,"$40,003","$40,889",,,
40,1,FTF + FTT,4181,4181,Marine Biology,Admin & Support & Waste Mgmt & Remediation,1,,,,,
40,1,FTF + FTT,4181,4181,Marine Biology,Educational Services,12,"$51,638","$53,124",1,,
40,1,FTF + FTT,4181,4181,Marine Biology,Health Care & Social Assistance,1,,,1,,
40,1,FTF + FTT,4181,4181,Marine Biology,"Arts, Entertainment, & Recreation",5,"$36,268","$39,606",,,
40,1,FTF + FTT,4181,4181,Marine Biology,Accommodation & Food Services,8,"$34,675","$43,074",,,
40,1,FTF + FTT,4181,4181,Marine Biology,Other Services,3,,,,,
40,1,FTF + FTT,4181,4181,Marine Biology,Government,7,"$30,742","$33,225",,,
40,1,FTF + FTT,4181,4181,Marine Biology,Wages - No NAICS Code,2,,,,,
40,1,FTF + FTT,5011,5011,Business Administration,Construction,1,,,,,
40,1,FTF + FTT,5011,5011,Business Administration,Manufacturing,13,"$44,194","$54,530",,,
40,1,FTF + FTT,5011,5011,Business Administration,Wholesale Trade,19,"$49,185","$52,580",4,,
40,1,FTF + FTT,5011,5011,Business Administration,Retail Trade,22,"$58,562","$55,034",2,,
40,1,FTF + FTT,5011,5011,Business Administration,Transportation & Warehousing,19,"$48,075","$61,408",,,
40,1,FTF + FTT,5011,5011,Business Administration,Information,7,"$53,800","$52,055",,,
40,1,FTF + FTT,5011,5011,Business Administration,Finance & Insurance,13,"$70,801","$66,376",,,
40,1,FTF + FTT,5011,5011,Business Administration,Real Estate & Rental & Leasing,6,"$73,099","$183,441",,,
40,1,FTF + FTT,5011,5011,Business Administration,"Professional, Scientific, & Technical Skills",26,"$55,825","$57,935",4,,
40,1,FTF + FTT,5011,5011,Business Administration,Management of Companies & Enterprises,2,,,,,
40,1,FTF + FTT,5011,5011,Business Administration,Admin & Support & Waste Mgmt & Remediation,9,"$37,617","$46,181",1,,
40,1,FTF + FTT,5011,5011,Business Administration,Educational Services,4,,,,,
40,1,FTF + FTT,5011,5011,Business Administration,Health Care & Social Assistance,5,"$59,834","$67,955",1,,
40,1,FTF + FTT,5011,5011,Business Administration,"Arts, Entertainment, & Recreation",3,,,,,
40,1,FTF + FTT,5011,5011,Business Administration,Accommodation & Food Services,9,"$32,487","$35,125",2,,
40,1,FTF + FTT,5011,5011,Business Administration,Other Services,7,"$57,207","$48,426",,,
40,1,FTF + FTT,5011,5011,Business Administration,Government,8,"$80,471","$77,888",,,
40,1,FTF + FTT,5011,5011,Business Administration,Wages - No NAICS Code,2,,,,,
40,1,FTF + FTT,5021,5021,Accounting,"Agriculture, Forestry, Fishing, & Hunting",1,,,,,
40,1,FTF + FTT,5021,5021,Accounting,Mining,1,,,,,
40,1,FTF + FTT,5021,5021,Accounting,Utilities,6,"$84,879","$82,670",,,
40,1,FTF + FTT,5021,5021,Accounting,Construction,14,"$39,344","$44,173",4,,
40,1,FTF + FTT,5021,5021,Accounting,Manufacturing,38,"$64,507","$63,554",10,"$93,852","$99,880"
40,1,FTF + FTT,5021,5021,Accounting,Wholesale Trade,51,"$59,749","$65,897",6,"$72,637","$95,581"
40,1,FTF + FTT,5021,5021,Accounting,Retail Trade,37,"$53,011","$51,962",4,,
40,1,FTF + FTT,5021,5021,Accounting,Transportation & Warehousing,13,"$48,696","$56,405",1,,
40,1,FTF + FTT,5021,5021,Accounting,Information,21,"$76,753","$79,037",1,,
40,1,FTF + FTT,5021,5021,Accounting,Finance & Insurance,46,"$60,781","$68,803",4,,
40,1,FTF + FTT,5021,5021,Accounting,Real Estate & Rental & Leasing,28,"$59,822","$67,194",4,,
40,1,FTF + FTT,5021,5021,Accounting,"Professional, Scientific, & Technical Skills",212,"$72,953","$71,635",25,"$92,523","$100,701"
40,1,FTF + FTT,5021,5021,Accounting,Management of Companies & Enterprises,4,,,2,,
40,1,FTF + FTT,5021,5021,Accounting,Admin & Support & Waste Mgmt & Remediation,48,"$54,194","$57,678",6,"$87,908","$76,539"
40,1,FTF + FTT,5021,5021,Accounting,Educational Services,24,"$49,135","$45,787",2,,
40,1,FTF + FTT,5021,5021,Accounting,Health Care & Social Assistance,43,"$50,866","$48,396",1,,
40,1,FTF + FTT,5021,5021,Accounting,"Arts, Entertainment, & Recreation",16,"$54,766","$52,598",2,,
40,1,FTF + FTT,5021,5021,Accounting,Accommodation & Food Services,15,"$47,412","$40,383",4,,
40,1,FTF + FTT,5021,5021,Accounting,Other Services,9,"$44,634","$46,507",1,,
40,1,FTF + FTT,5021,5021,Accounting,Government,35,"$66,701","$63,512",4,,
40,1,FTF + FTT,5021,5021,Accounting,Wages - No NAICS Code,21,"$105,334","$91,835",3,,
40,1,FTF + FTT,5041,5041,Finance,"Agriculture, Forestry, Fishing, & Hunting",4,,,1,,
40,1,FTF + FTT,5041,5041,Finance,Utilities,3,,,1,,
40,1,FTF + FTT,5041,5041,Finance,Construction,15,"$65,285","$78,142",4,,
40,1,FTF + FTT,5041,5041,Finance,Manufacturing,49,"$69,134","$69,385",13,"$96,218","$98,622"
40,1,FTF + FTT,5041,5041,Finance,Wholesale Trade,44,"$59,645","$62,020",11,"$81,971","$108,418"
40,1,FTF + FTT,5041,5041,Finance,Retail Trade,50,"$50,723","$48,425",7,"$63,548","$58,548"
40,1,FTF + FTT,5041,5041,Finance,Transportation & Warehousing,22,"$52,730","$54,746",4,,
40,1,FTF + FTT,5041,5041,Finance,Information,23,"$68,710","$65,301",3,,
40,1,FTF + FTT,5041,5041,Finance,Finance & Insurance,166,"$67,390","$72,460",33,"$79,391","$94,728"
40,1,FTF + FTT,5041,5041,Finance,Real Estate & Rental & Leasing,27,"$52,474","$54,887",5,"$71,761","$96,272"
40,1,FTF + FTT,5041,5041,Finance,"Professional, Scientific, & Technical Skills",71,"$67,816","$70,256",10,"$84,519","$95,200"
40,1,FTF + FTT,5041,5041,Finance,Management of Companies & Enterprises,3,,,1,,
40,1,FTF + FTT,5041,5041,Finance,Admin & Support & Waste Mgmt & Remediation,37,"$48,848","$52,869",4,,
40,1,FTF + FTT,5041,5041,Finance,Educational Services,16,"$32,748","$36,052",1,,
40,1,FTF + FTT,5041,5041,Finance,Health Care & Social Assistance,24,"$44,833","$45,039",3,,
40,1,FTF + FTT,5041,5041,Finance,"Arts, Entertainment, & Recreation",10,"$20,868","$26,399",1,,
40,1,FTF + FTT,5041,5041,Finance,Accommodation & Food Services,21,"$27,882","$29,654",7,"$38,178","$33,166"
40,1,FTF + FTT,5041,5041,Finance,Other Services,9,"$42,883","$41,080",1,,
40,1,FTF + FTT,5041,5041,Finance,Government,22,"$46,566","$55,118",8,"$88,453","$78,556"
40,1,FTF + FTT,5041,5041,Finance,Wages - No NAICS Code,11,"$73,771","$89,655",5,"$72,405","$88,013"
40,1,FTF + FTT,5061,5061,Management,"Agriculture, Forestry, Fishing, & Hunting",2,,,,,
40,1,FTF + FTT,5061,5061,Management,Mining,4,,,,,
40,1,FTF + FTT,5061,5061,Management,Utilities,4,,,2,,
40,1,FTF + FTT,5061,5061,Management,Construction,28,"$72,072","$80,144",6,"$63,072","$56,745"
40,1,FTF + FTT,5061,5061,Management,Manufacturing,73,"$63,560","$62,581",5,"$72,093","$83,542"
40,1,FTF + FTT,5061,5061,Management,Wholesale Trade,67,"$61,830","$63,427",10,"$77,918","$82,777"
40,1,FTF + FTT,5061,5061,Management,Retail Trade,79,"$58,319","$56,561",9,"$70,807","$82,229"
40,1,FTF + FTT,5061,5061,Management,Transportation & Warehousing,42,"$58,867","$70,305",1,,
40,1,FTF + FTT,5061,5061,Management,Information,31,"$66,212","$74,477",1,,
40,1,FTF + FTT,5061,5061,Management,Finance & Insurance,56,"$59,965","$63,979",7,"$75,222","$93,658"
40,1,FTF + FTT,5061,5061,Management,Real Estate & Rental & Leasing,35,"$61,296","$72,301",5,"$89,819","$118,275"
40,1,FTF + FTT,5061,5061,Management,"Professional, Scientific, & Technical Skills",60,"$62,898","$72,682",11,"$97,039","$80,842"
40,1,FTF + FTT,5061,5061,Management,Management of Companies & Enterprises,4,,,1,,
