,,,,,,,,,
,,,,,,,,,
HEGIS At Exit,Major,,,,,,,,
12122,"Doctor of Physical Therapy, Graduate Degree",,,,,,,,
12141,"Health Education, Graduate Degree",,,,,,,,
12142,"Environmental and Occupational Health, Graduate Degree",,,,,,,,
12171,"Genetic Counseling, Graduate Degree",,,,,,,,
12201,"Communicative Disorders, Graduate Degree",,,,,,,,
12203,"Speech Language Pathology, Graduate Degree",,,,,,,,
12231,"Medical Technology, Graduate Degree",,,,,,,,
12992,"Public Health and Nursing (MPH & MSN), Graduate Degree",,,,,,,,
12993,"Nursing and Healthcare Administration, Graduate Degree",,,,,,,,
13011,"Family and Consumer Sciences, Graduate Degree",,,,,,,,
13051,"Marriage, Family, and Child Counseling, Graduate Degree",,,,,,,,
13061,"Dietetics/Nutritional Science, Graduate Degree",,,,,,,,
15011,"English, Graduate Degree",,,,,,,,
15013,"English Composition, Graduate Degree",,,,,,,,
15021,"English Literature, Graduate Degree",,,,,,,,
15051,"Linguistics, Graduate Degree",,,,,,,,
15061,"Speech Communication, Graduate Degree",,,,,,,,
15071,"Creative Writing, Graduate Degree",,,,,,,,
15081,"Teaching English to Speakers of Other Languages, Graduate Degree",,,,,,,,
15091,"Philosophy, Graduate Degree",,,,,,,,
15101,"Religious Studies, Graduate Degree",,,,,,,,
15991,"Humanities, Graduate Degree",,,,,,,,
17011,"Mathematics, Graduate Degree",,,,,,,,
17012,"Mathematics Education, Graduate Degree",,,,,,,,
17021,"Statistics, Graduate Degree",,,,,,,,
17022,"Applied Statistics, Graduate Degree",,,,,,,,
17031,"Applied Mathematics, Graduate Degree",,,,,,,,
19021,"Physics, Graduate Degree",,,,,,,,
19051,"Chemistry, Graduate Degree",,,,,,,,
19141,"Geology, Graduate Degree",,,,,,,,
19991,"Forensic Science, Graduate Degree",,,,,,,,
20011,"Psychology, Graduate Degree",,,,,,,,
20013,"School Psychology, Graduate Degree",,,,,,,,
20031,"Clinical Psychology, Graduate Degree",,,,,,,,
20081,"Industrial/Organizational Psychology, Graduate Degree",,,,,,,,
20991,"Behavioral Science, Graduate Degree",,,,,,,,
21021,"Public Administration, Graduate Degree",,,,,,,,
21025,Hospitality,,,,,,,,
21031,"Recreation Management & Administration, Graduate Degree",,,,,,,,
21041,"Social Work, Graduate Degree",,,,,,,,
21043,"Gerentology, Graduate Degree",,,,,,,,
21051,"Criminal Justice, Graduate Degree",,,,,,,,
21992,"Emergency Services Administration, Graduate Degree",,,,,,,,
22021,"Anthropology, Graduate Degree",,,,,,,,
22041,"Economics, Graduate Degree",,,,,,,,
22051,"History, Graduate Degree",,,,,,,,
22061,"Geography, Graduate Degree",,,,,,,,
22063,"Geography, Graduate Degree",,,,,,,,
22071,"Political Science, Graduate Degree",,,,,,,,
22081,"Sociology, Graduate Degree",,,,,,,,
22131,"Mexican-American Studies, Graduate Degree",,,,,,,,
49011,"Environmental Studies, Graduate Degree",,,,,,,,
49023,"Science (Interdisciplinary), Graduate Degree",,,,,,,,
49024,"Regenerative Studies, Graduate Degree",,,,,,,,
49039,"Conflict Resolution Negotiation, Graduate Degree",,,,,,,,
49993,"Special Major (Interdisciplinary), Graduate Degree",,,,,,,,
