Campus,Location,Student Path,Entry Stat,HEGIS at Exit,HEGIS For Tableau,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
73,Channel Islands,1,FTF + FTT,10015,10015,Performing Arts,Educational Services,1,,,,,
73,Channel Islands,1,FTF + FTT,10015,10015,Performing Arts,Health Care & Social Assistance,2,,,1,,
73,Channel Islands,1,FTF + FTT,10015,10015,Performing Arts,"Arts, Entertainment, & Recreation",1,,,,,
73,Channel Islands,1,FTF + FTT,10015,10015,Performing Arts,Accommodation & Food Services,2,,,1,,
73,Channel Islands,1,FTF + FTT,10015,10015,Performing Arts,Government,1,,,,,
73,Channel Islands,1,FTF + FTT,10021 + 10022,10022,Art,Mining,2,,,2,,
73,Channel Islands,1,FTF + FTT,10021 + 10022,10022,Art,Construction,9,"$53,985","$69,818",5,"$120,747","$122,983"
73,Channel Islands,1,FTF + FTT,10021 + 10022,10022,Art,Manufacturing,28,"$44,369","$44,273",8,"$69,744","$68,051"
73,Channel Islands,1,FTF + FTT,10021 + 10022,10022,Art,Wholesale Trade,14,"$55,756","$50,916",9,"$78,250","$88,323"
73,Channel Islands,1,FTF + FTT,10021 + 10022,10022,Art,Retail Trade,43,"$26,596","$31,504",21,"$28,940","$36,140"
73,Channel Islands,1,FTF + FTT,10021 + 10022,10022,Art,Transportation & Warehousing,3,,,,,
73,Channel Islands,1,FTF + FTT,10021 + 10022,10022,Art,Information,24,"$52,469","$49,799",17,"$74,574","$84,398"
73,Channel Islands,1,FTF + FTT,10021 + 10022,10022,Art,Finance & Insurance,10,"$52,691","$44,449",3,,
73,Channel Islands,1,FTF + FTT,10021 + 10022,10022,Art,Real Estate & Rental & Leasing,7,"$41,148","$42,137",2,,
73,Channel Islands,1,FTF + FTT,10021 + 10022,10022,Art,"Professional, Scientific, & Technical Skills",46,"$46,343","$48,193",16,"$50,755","$50,950"
73,Channel Islands,1,FTF + FTT,10021 + 10022,10022,Art,Management of Companies & Enterprises,1,,,2,,
73,Channel Islands,1,FTF + FTT,10021 + 10022,10022,Art,Admin & Support & Waste Mgmt & Remediation,14,"$36,545","$48,440",6,"$85,596","$86,173"
73,Channel Islands,1,FTF + FTT,10021 + 10022,10022,Art,Educational Services,23,"$26,937","$29,960",16,"$42,697","$44,489"
73,Channel Islands,1,FTF + FTT,10021 + 10022,10022,Art,Health Care & Social Assistance,15,"$32,937","$34,981",9,"$43,640","$49,915"
73,Channel Islands,1,FTF + FTT,10021 + 10022,10022,Art,"Arts, Entertainment, & Recreation",8,"$39,406","$68,739",4,,
73,Channel Islands,1,FTF + FTT,10021 + 10022,10022,Art,Accommodation & Food Services,19,"$25,665","$27,090",9,"$26,480","$30,171"
73,Channel Islands,1,FTF + FTT,10021 + 10022,10022,Art,Other Services,3,,,1,,
73,Channel Islands,1,FTF + FTT,10021 + 10022,10022,Art,Government,10,"$11,090","$22,435",13,"$41,082","$54,716"
73,Channel Islands,1,FTF + FTT,10021 + 10022,10022,Art,Wages - No NAICS Code,6,"$33,169","$37,690",5,"$43,262","$47,724"
73,Channel Islands,1,FTF + FTT,11051,11051,Spanish,"Agriculture, Forestry, Fishing, & Hunting",1,,,,,
73,Channel Islands,1,FTF + FTT,11051,11051,Spanish,Manufacturing,1,,,2,,
73,Channel Islands,1,FTF + FTT,11051,11051,Spanish,Wholesale Trade,1,,,,,
73,Channel Islands,1,FTF + FTT,11051,11051,Spanish,Retail Trade,1,,,,,
73,Channel Islands,1,FTF + FTT,11051,11051,Spanish,Information,1,,,,,
73,Channel Islands,1,FTF + FTT,11051,11051,Spanish,Finance & Insurance,1,,,1,,
73,Channel Islands,1,FTF + FTT,11051,11051,Spanish,Real Estate & Rental & Leasing,1,,,,,
73,Channel Islands,1,FTF + FTT,11051,11051,Spanish,"Professional, Scientific, & Technical Skills",2,,,,,
73,Channel Islands,1,FTF + FTT,11051,11051,Spanish,Admin & Support & Waste Mgmt & Remediation,1,,,,,
73,Channel Islands,1,FTF + FTT,11051,11051,Spanish,Educational Services,8,"$22,536","$31,449",5,"$49,850","$38,707"
73,Channel Islands,1,FTF + FTT,11051,11051,Spanish,Health Care & Social Assistance,5,"$20,927","$23,121",1,,
73,Channel Islands,1,FTF + FTT,11051,11051,Spanish,Accommodation & Food Services,3,,,,,
73,Channel Islands,1,FTF + FTT,11051,11051,Spanish,Government,3,,,2,,
73,Channel Islands,1,FTF + FTT,11051,11051,Spanish,Wages - No NAICS Code,1,,,,,
73,Channel Islands,1,FTF + FTT,15011,15011,English,Mining,1,,,1,,
73,Channel Islands,1,FTF + FTT,15011,15011,English,Utilities,1,,,,,
73,Channel Islands,1,FTF + FTT,15011,15011,English,Construction,3,,,,,
73,Channel Islands,1,FTF + FTT,15011,15011,English,Manufacturing,8,"$72,075","$60,127",5,"$59,695","$66,735"
73,Channel Islands,1,FTF + FTT,15011,15011,English,Wholesale Trade,10,"$33,896","$31,800",2,,
73,Channel Islands,1,FTF + FTT,15011,15011,English,Retail Trade,21,"$34,257","$40,207",9,"$45,278","$44,458"
73,Channel Islands,1,FTF + FTT,15011,15011,English,Transportation & Warehousing,,,,1,,
73,Channel Islands,1,FTF + FTT,15011,15011,English,Information,10,"$47,765","$38,322",4,,
73,Channel Islands,1,FTF + FTT,15011,15011,English,Finance & Insurance,13,"$56,390","$72,295",5,"$90,332","$80,539"
73,Channel Islands,1,FTF + FTT,15011,15011,English,Real Estate & Rental & Leasing,4,,,3,,
73,Channel Islands,1,FTF + FTT,15011,15011,English,"Professional, Scientific, & Technical Skills",19,"$41,558","$45,986",6,"$59,928","$74,117"
73,Channel Islands,1,FTF + FTT,15011,15011,English,Management of Companies & Enterprises,2,,,,,
73,Channel Islands,1,FTF + FTT,15011,15011,English,Admin & Support & Waste Mgmt & Remediation,11,"$33,108","$34,598",5,"$62,014","$69,474"
73,Channel Islands,1,FTF + FTT,15011,15011,English,Educational Services,41,"$37,089","$37,526",20,"$48,846","$47,513"
73,Channel Islands,1,FTF + FTT,15011,15011,English,Health Care & Social Assistance,7,"$47,339","$45,807",7,"$61,307","$59,594"
73,Channel Islands,1,FTF + FTT,15011,15011,English,"Arts, Entertainment, & Recreation",2,,,,,
73,Channel Islands,1,FTF + FTT,15011,15011,English,Accommodation & Food Services,7,"$22,000","$22,945",2,,
73,Channel Islands,1,FTF + FTT,15011,15011,English,Other Services,5,"$24,754","$20,930",3,,
73,Channel Islands,1,FTF + FTT,15011,15011,English,Non-Classified,1,,,,,
73,Channel Islands,1,FTF + FTT,15011,15011,English,Government,14,"$35,028","$48,433",8,"$64,038","$55,203"
73,Channel Islands,1,FTF + FTT,15011,15011,English,Wages - No NAICS Code,3,,,4,,
73,Channel Islands,1,FTF + FTT,17011,17011,Mathematics,"Agriculture, Forestry, Fishing, & Hunting",1,,,1,,
73,Channel Islands,1,FTF + FTT,17011,17011,Mathematics,Construction,1,,,,,
73,Channel Islands,1,FTF + FTT,17011,17011,Mathematics,Manufacturing,1,,,3,,
73,Channel Islands,1,FTF + FTT,17011,17011,Mathematics,Wholesale Trade,2,,,,,
73,Channel Islands,1,FTF + FTT,17011,17011,Mathematics,Retail Trade,3,,,1,,
73,Channel Islands,1,FTF + FTT,17011,17011,Mathematics,Transportation & Warehousing,1,,,,,
73,Channel Islands,1,FTF + FTT,17011,17011,Mathematics,Information,,,,1,,
73,Channel Islands,1,FTF + FTT,17011,17011,Mathematics,Finance & Insurance,1,,,1,,
73,Channel Islands,1,FTF + FTT,17011,17011,Mathematics,"Professional, Scientific, & Technical Skills",3,,,4,,
73,Channel Islands,1,FTF + FTT,17011,17011,Mathematics,Admin & Support & Waste Mgmt & Remediation,2,,,,,
73,Channel Islands,1,FTF + FTT,17011,17011,Mathematics,Educational Services,20,"$57,871","$45,958",13,"$74,988","$60,844"
73,Channel Islands,1,FTF + FTT,17011,17011,Mathematics,Health Care & Social Assistance,2,,,2,,
73,Channel Islands,1,FTF + FTT,17011,17011,Mathematics,"Arts, Entertainment, & Recreation",1,,,,,
73,Channel Islands,1,FTF + FTT,17011,17011,Mathematics,Accommodation & Food Services,2,,,1,,
73,Channel Islands,1,FTF + FTT,17011,17011,Mathematics,Government,3,,,2,,
73,Channel Islands,1,FTF + FTT,19025,19025,Applied Physics,Manufacturing,1,,,,,
73,Channel Islands,1,FTF + FTT,19025,19025,Applied Physics,Educational Services,1,,,,,
73,Channel Islands,1,FTF + FTT,19051,19051,Chemistry,Manufacturing,13,"$69,903","$63,104",1,,
73,Channel Islands,1,FTF + FTT,19051,19051,Chemistry,Retail Trade,2,,,,,
73,Channel Islands,1,FTF + FTT,19051,19051,Chemistry,Finance & Insurance,1,,,1,,
73,Channel Islands,1,FTF + FTT,19051,19051,Chemistry,"Professional, Scientific, & Technical Skills",6,"$60,094","$53,537",,,
73,Channel Islands,1,FTF + FTT,19051,19051,Chemistry,Management of Companies & Enterprises,1,,,,,
73,Channel Islands,1,FTF + FTT,19051,19051,Chemistry,Admin & Support & Waste Mgmt & Remediation,2,,,,,
73,Channel Islands,1,FTF + FTT,19051,19051,Chemistry,Educational Services,1,,,,,
73,Channel Islands,1,FTF + FTT,19051,19051,Chemistry,Health Care & Social Assistance,2,,,1,,
73,Channel Islands,1,FTF + FTT,19051,19051,Chemistry,Accommodation & Food Services,1,,,,,
73,Channel Islands,1,FTF + FTT,19051,19051,Chemistry,Other Services,1,,,,,
73,Channel Islands,1,FTF + FTT,19051,19051,Chemistry,Government,1,,,,,
73,Channel Islands,1,FTF + FTT,19051,19051,Chemistry,Wages - No NAICS Code,4,,,1,,
73,Channel Islands,1,FTF + FTT,20011 + 20013,20013,Psychology,"Agriculture, Forestry, Fishing, & Hunting",2,,,1,,
73,Channel Islands,1,FTF + FTT,20011 + 20013,20013,Psychology,Utilities,1,,,1,,
73,Channel Islands,1,FTF + FTT,20011 + 20013,20013,Psychology,Construction,7,"$29,559","$33,704",3,,
73,Channel Islands,1,FTF + FTT,20011 + 20013,20013,Psychology,Manufacturing,25,"$38,009","$39,908",14,"$52,361","$51,294"
73,Channel Islands,1,FTF + FTT,20011 + 20013,20013,Psychology,Wholesale Trade,13,"$35,123","$41,870",3,,
73,Channel Islands,1,FTF + FTT,20011 + 20013,20013,Psychology,Retail Trade,34,"$39,241","$35,550",11,"$40,681","$48,843"
73,Channel Islands,1,FTF + FTT,20011 + 20013,20013,Psychology,Transportation & Warehousing,2,,,,,
73,Channel Islands,1,FTF + FTT,20011 + 20013,20013,Psychology,Information,15,"$55,568","$51,095",7,"$85,931","$77,255"
73,Channel Islands,1,FTF + FTT,20011 + 20013,20013,Psychology,Finance & Insurance,22,"$48,548","$50,118",8,"$64,358","$68,052"
73,Channel Islands,1,FTF + FTT,20011 + 20013,20013,Psychology,Real Estate & Rental & Leasing,8,"$27,104","$40,163",1,,
73,Channel Islands,1,FTF + FTT,20011 + 20013,20013,Psychology,"Professional, Scientific, & Technical Skills",29,"$50,231","$48,757",15,"$68,887","$67,563"
73,Channel Islands,1,FTF + FTT,20011 + 20013,20013,Psychology,Management of Companies & Enterprises,1,,,1,,
73,Channel Islands,1,FTF + FTT,20011 + 20013,20013,Psychology,Admin & Support & Waste Mgmt & Remediation,18,"$51,808","$50,214",12,"$57,396","$64,083"
73,Channel Islands,1,FTF + FTT,20011 + 20013,20013,Psychology,Educational Services,65,"$37,741","$40,065",24,"$71,890","$68,189"
73,Channel Islands,1,FTF + FTT,20011 + 20013,20013,Psychology,Health Care & Social Assistance,93,"$36,097","$36,448",42,"$49,990","$55,486"
73,Channel Islands,1,FTF + FTT,20011 + 20013,20013,Psychology,"Arts, Entertainment, & Recreation",7,"$3,787","$15,497",2,,
73,Channel Islands,1,FTF + FTT,20011 + 20013,20013,Psychology,Accommodation & Food Services,38,"$24,021","$24,690",17,"$26,404","$29,857"
73,Channel Islands,1,FTF + FTT,20011 + 20013,20013,Psychology,Other Services,16,"$40,672","$42,159",7,"$30,339","$39,841"
73,Channel Islands,1,FTF + FTT,20011 + 20013,20013,Psychology,Non-Classified,1,,,,,
73,Channel Islands,1,FTF + FTT,20011 + 20013,20013,Psychology,Government,54,"$56,305","$58,789",30,"$71,015","$69,911"
73,Channel Islands,1,FTF + FTT,20011 + 20013,20013,Psychology,Wages - No NAICS Code,3,,,4,,
73,Channel Islands,1,FTF + FTT,22021,22021,Anthropology,Retail Trade,1,,,,,
73,Channel Islands,1,FTF + FTT,22021,22021,Anthropology,Accommodation & Food Services,1,,,,,
73,Channel Islands,1,FTF + FTT,22041,22041,Economics,"Agriculture, Forestry, Fishing, & Hunting",1,,,,,
73,Channel Islands,1,FTF + FTT,22041,22041,Economics,Construction,1,,,1,,
73,Channel Islands,1,FTF + FTT,22041,22041,Economics,Manufacturing,2,,,,,
73,Channel Islands,1,FTF + FTT,22041,22041,Economics,Wholesale Trade,1,,,,,
73,Channel Islands,1,FTF + FTT,22041,22041,Economics,Retail Trade,3,,,,,
73,Channel Islands,1,FTF + FTT,22041,22041,Economics,Transportation & Warehousing,1,,,,,
73,Channel Islands,1,FTF + FTT,22041,22041,Economics,Information,1,,,,,
73,Channel Islands,1,FTF + FTT,22041,22041,Economics,Finance & Insurance,7,"$46,800","$60,295",2,,
73,Channel Islands,1,FTF + FTT,22041,22041,Economics,"Professional, Scientific, & Technical Skills",2,,,1,,
73,Channel Islands,1,FTF + FTT,22041,22041,Economics,Admin & Support & Waste Mgmt & Remediation,3,,,,,
73,Channel Islands,1,FTF + FTT,22041,22041,Economics,Health Care & Social Assistance,2,,,1,,
73,Channel Islands,1,FTF + FTT,22041,22041,Economics,"Arts, Entertainment, & Recreation",1,,,,,
73,Channel Islands,1,FTF + FTT,22041,22041,Economics,Accommodation & Food Services,1,,,,,
73,Channel Islands,1,FTF + FTT,22041,22041,Economics,Government,4,,,,,
73,Channel Islands,1,FTF + FTT,22041,22041,Economics,Wages - No NAICS Code,2,,,1,,
