guid,entry_status,major,in_school_earning,fin_aid_0,fin_aid_3000,fin_aid_10000,
da4a9e30-f460-4f95-0243-036f66ce3852,FTF,Art History,4500,0.122823,0.13994,0.20429,
cb20029a-e083-4d5d-6f18-60f81ede7d58,FTF,Art History,10500,0.161940,0.19173,0.35133,
e4340203-3228-9339-5389-07c4e9785b28,FTF,Asian/Asian-American Studies,0,0.140546,0.15120,0.18619,
919f8a71-e7ab-4b2b-a5ae-1d6ac24cce17,FTF,Asian/Asian-American Studies,4500,0.157291,0.17152,0.22360,
04dea862-5b66-ad53-98b4-c821d7eca5e8,FTF,Asian/Asian-American Studies,10500,0.189529,0.21356,0.33949,
d428b9b2-199c-282c-cef7-c6fb544c8cd9,FTF,Asian/East Asian Studies,0,0.062869,0.07141,0.10043,
d1a7bd3a-3f98-3dd0-3ae9-783cdcc93e17,FTF,Asian/East Asian Studies,4500,0.076354,0.08806,0.13362,
8b0a0aa8-eb4b-4924-a806-a0fdffe27ed5,FTF,Asian/East Asian Studies,10500,0.103298,0.12446,0.25237,
bd2caa24-1f70-d63f-cc8f-db5d2a432520,FTF,Athletic Training,0,0.151633,0.16245,0.19772,
37c3883d-6d8c-2c45-9fa5-69524ac4e090,FTF,Athletic Training,4500,0.168624,0.18299,0.23491,
22cb0c0d-2fae-c1ab-6ae4-fde3cedccb3c,FTF,Athletic Training,10500,0.201066,0.22499,0.34611,
d00229d0-a8a9-192a-03fa-d16eee3492f7,FTF,Behavioral Science,0,0.168070,0.18181,0.22814,
786ce38e-186c-8814-01df-47f4b37bd9af,FTF,Behavioral Science,4500,0.189746,0.20850,0.27949,
138278d0-a0bf-fea4-9125-c83876eeb7e2,FTF,Behavioral Science,10500,0.232652,0.26554,0.44983,
765d38c5-4b18-43ed-fd77-92a0972b22ff,FTF,Biochemistry,0,0.166209,0.17932,0.22260,
16778a25-c1d6-5936-de09-0fe8bc20377e,FTF,Biochemistry,4500,0.186839,0.20443,0.26905,
992a7f5d-629c-0e28-1ed9-f9fadae21f83,FTF,Biochemistry,10500,0.226745,0.25658,0.41419,
133aa6c2-f19e-f6a3-ba1f-d861876b5aad,FTF,Biology,0,0.173667,0.18593,0.22633,
b3811ae9-0d12-7bb8-b266-150b216ac70f,FTF,Biology,4500,0.192951,0.20937,0.26966,
ce59f69f-66fd-8f8c-9ac7-72f6169bf237,FTF,Biology,10500,0.230198,0.25803,0.40472,
b8493b1a-a1ba-52cf-c04e-1fdab670f4f1,FTF,Biomedical Engineering,0,0.199926,0.21755,0.27833,
66e991e2-0427-1d66-d1fd-33c6686401fd,FTF,Biomedical Engineering,4500,0.227825,0.25233,0.34757,
d7285291-4e69-7c11-f0b0-c4efff1e1c16,FTF,Biomedical Engineering,10500,0.284342,0.32859,0.58964,
7cec5124-acba-ccc9-40a4-f40899913e39,FTF,Biomedical Physics,0,0.168431,0.18392,0.23600,
a226d1a6-eefc-5c58-f6af-3cb50eef6e6d,FTF,Biomedical Physics,4500,0.192869,0.21397,0.29309,
202fce4f-35e9-f56f-1a69-142c6c53ae14,FTF,Biomedical Physics,10500,0.241045,0.27766,0.47815,
8b262035-2bac-62db-5f72-6b86b48b243f,FTF,Biotechnology,0,0.202675,0.21897,0.27296,
11e10339-17d8-a70b-6add-1da6e21dbebf,FTF,Biotechnology,4500,0.228330,0.25025,0.33132,
baa147f4-061b-20ee-5fe0-a0f6dcebb688,FTF,Biotechnology,10500,0.278150,0.31559,0.51994,
39f9b6f8-1d24-bdc9-0316-b065f9d69e97,FTF,Botany,0,0.152867,0.16496,0.20539,
edee19c6-22de-5747-5f3d-401b726085c9,FTF,Botany,4500,0.171930,0.18832,0.24966,
a4b179ab-3f83-265e-483a-d85740c2621e,FTF,Botany,10500,0.209304,0.23769,0.39279,
61c1895c-464c-4bac-0279-5c7cb2c128ab,FTF,Business Administration,0,0.204385,0.21994,0.27233,
7b9c93e3-9685-3f2c-4d7b-6c9ecdfc2983,FTF,Business Administration,4500,0.228922,0.25013,0.33035,
9397723c-1aed-c2bb-5d48-8af12dab1e16,FTF,Business Administration,10500,0.277431,0.31458,0.52478,
3a583a11-7a39-b86e-3918-ffa3e3339580,FTF,Business Economics,0,0.203951,0.21871,0.26812,
1e7300bf-fe40-a7f2-51d7-57d0bbb02f01,FTF,Business Economics,4500,0.227219,0.24724,0.32241,
48b02b4a-c6ea-af73-8b35-56bbd21b58a8,FTF,Business Economics,10500,0.272906,0.30769,0.50249,
ba7b9f65-cced-4078-e55e-06b8adfb80a1,FTF,Business Law,0,0.167163,0.18128,0.22851,
95dc68b9-b6d9-2700-773e-df6c321c89ab,FTF,Business Law,4500,0.189418,0.20857,0.28007,
8442c74e-e30c-818f-765e-b01540b22b09,FTF,Business Law,10500,0.233077,0.26615,0.44550,
9dea3c07-4385-c1dc-378c-68174373b8b4,FTF,Cell and Molecular Biology,0,0.182729,0.19569,0.23853,
0e541a03-5b9e-8d10-2441-a6a9a1c62903,FTF,Cell and Molecular Biology,4500,0.203130,0.22053,0.28455,
053c9bb6-1279-f0c0-ee99-964db64a7f34,FTF,Cell and Molecular Biology,10500,0.242628,0.27218,0.42816,
d8e87a4d-e9a1-a6aa-769c-b6b197465786,FTF,Chemical Engineering,0,0.277791,0.29789,0.36536,
985f2201-e32d-cbae-c038-6ff1d43f1275,FTF,Chemical Engineering,4500,0.309483,0.33681,0.43981,
d74344b2-842d-21ef-dabd-cf0754011ae3,FTF,Chemical Engineering,10500,0.371911,0.41959,0.69372,
c4a5cd66-4c26-2db5-7aa2-24195392145e,FTF,Chemistry,0,0.189481,0.20396,0.25230,
47a48001-823c-3174-b00c-44b7db8c882e,FTF,Chemistry,4500,0.212296,0.23190,0.30502,
989131bb-dab9-6a62-a3b7-2799c88edff1,FTF,Chemistry,10500,0.256964,0.29078,0.47530,
6904be09-dfa9-ec6c-6625-296a94fe71df,FTF,Child Development,0,0.140408,0.15112,0.18664,
f736f34b-42b6-9ca6-4253-d6db48463832,FTF,Child Development,4500,0.157268,0.17168,0.22516,
e6f0b678-f6dc-0a3b-810f-5e9a5c96b420,FTF,Child Development,10500,0.190054,0.21477,0.34745,
8f193c69-8546-7f68-2695-8123fa5a6c87,FTF,Cinema/Film,0,0.140195,0.15056,0.18450,
439a53db-5a3a-8da2-4850-de0e3e7f612a,FTF,Cinema/Film,4500,0.156481,0.17029,0.22055,
ad23be09-a10b-9462-46f0-8018a644b92f,FTF,Cinema/Film,10500,0.187728,0.21090,0.32971,
e0f294f8-ff06-79a7-a313-ae741c59d9b2,FTF,City and Regional Planning,0,0.218218,0.23408,0.28715,
f3cb6206-3eda-8c23-e362-44263beed2a0,FTF,City and Regional Planning,4500,0.243219,0.26473,0.34533,
77d65394-4ac8-79df-b66e-2de723e91743,FTF,City and Regional Planning,10500,0.292286,0.32958,0.53705,
8756fd44-0058-c369-fe3a-41c7f405f389,FTF,Civil Engineering,0,0.267188,0.28731,0.35529,
c128f7cc-0a7f-df16-e9e3-8f505465d95b,FTF,Civil Engineering,4500,0.298950,0.32645,0.43089,
f4fa0cb3-b139-9edc-8394-c08f77506b44,FTF,Civil Engineering,10500,0.361914,0.41030,0.69227,
94e55c94-4fba-b703-75d6-e74f4fb96696,FTF,Classics,0,0.103066,0.11131,0.13791,
d5de9c91-1665-b216-f350-42a9a8108103,FTF,Classics,4500,0.115991,0.12684,0.16562,
2e370c5b-2ade-05ee-2c85-22802e6242ae,FTF,Classics,10500,0.140411,0.15826,0.24686,
bde87c8d-55df-f5cf-1c02-4e2abaf5212d,FTF,Communications,0,0.157787,0.17065,0.21372,
d4a060a1-5fad-e1bb-82c0-fa89cee4d95a,FTF,Communications,4500,0.178064,0.19552,0.26095,
e27ca3a9-cca1-c889-3327-9b2169352431,FTF,Communications,10500,0.217888,0.24816,0.41419,
44a1a0e0-80e6-1ee4-9dba-259060ebc022,FTF,Communicative Disorders,0,0.151884,0.16297,0.19933,
eebaab90-8bd1-d931-b5ad-3b425517b60c,FTF,Communicative Disorders,4500,0.169312,0.18410,0.23804,
4d40d2dd-c4bd-c250-7516-2147df8e3e7a,FTF,Communicative Disorders,10500,0.202790,0.22767,0.35696,
d3d61f77-0f9d-f1af-64b4-42b2a0184e47,FTF,Comparative Literature,0,0.099760,0.10810,0.13515,
517574f0-ce15-2b93-aaf4-21e7d7594740,FTF,Comparative Literature,4500,0.112848,0.12387,0.16356,
bc32f5b9-03cd-e54c-ffde-06d4c6bc21d4,FTF,Comparative Literature,10500,0.137708,0.15599,0.24809,
f3c0ae86-5323-7596-14c3-a05a6e155a10,FTF,Computer Engineering,0,0.270531,0.29071,0.35816,
2e900111-a579-c10c-a8e8-23ba50c639ea,FTF,Computer Engineering,4500,0.302328,0.32967,0.43214,
192d83e4-f996-6a5d-8c74-7c3984c83008,FTF,Computer Engineering,10500,0.364685,0.41209,0.68204,
3e612e40-ff6c-3306-1c09-f4b56c085447,FTF,Computer Engineering Technology,0,0.231953,0.24929,0.30725,
