Campus,Select Student Path,Select Entry Status,HEGIS At Exit,HEGIS for Tableau,Select Major at Exit,Potential # of Students,Number of Students Still Enrolled,# of Students Found with Earnings in at Least 1 Qtr,Median Annual Earnings in at Least 1 Qtr,# of Students Found with Earnings in all 4 Qtrs,Median Annual Earnings in all 4 Qtrs,Year
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511","5,510","4,488","$72,142","3,664","$80,599",1
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511","4,090","3,451","$78,226","2,917","$85,842",2
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511","2,435","1,972","$74,397","1,610","$86,456",3
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511","1,455","1,172","$57,962",910,"$83,822",4
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511",835,699,"$61,969",568,"$81,038",5
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511",425,362,"$76,835",310,"$89,325",6
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511",241,214,"$92,051",189,"$98,504",7
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511",160,145,"$93,772",130,"$103,204",8
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511",119,108,"$94,847",101,"$102,120",9
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511",87,76,"$95,458",69,"$96,906",10
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511",64,56,"$94,222",48,"$104,120",11
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511",45,38,"$101,952",36,"$106,463",12
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511",29,26,"$103,595",25,"$103,618",13
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511",20,19,"$97,521",19,"$97,521",14
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,"5,511",16,15,"$104,169",14,"$104,890",15
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,307,223,"$8,154",114,"$14,743",1
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,267,197,"$7,934",97,"$16,236",2
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,165,116,"$11,292",73,"$15,977",3
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,85,63,"$13,249",43,"$15,605",4
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,33,22,"$15,844",18,"$21,754",5
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,13,12,"$23,491",8,"$27,273",6
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,4,4,,3,,7
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,2,2,,,,8
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,1,1,,,,9
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,,,,,,10
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,,,,,,11
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,,,,,,12
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,,,,,,13
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,,,,,,14
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01011 + 01012 + 01021 + 01031 + 01081 + 01091,01091,Agriculture/Agricultural Science & Horticulture,307,,,,,,15
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,"1,124","1,124",783,"$6,617",413,"$12,810",1
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,"1,124",970,698,"$8,469",433,"$12,909",2
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,"1,124",758,557,"$8,714",343,"$13,026",3
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,"1,124",498,378,"$10,034",249,"$13,573",4
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,"1,124",234,182,"$11,541",131,"$13,707",5
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,"1,124",87,71,"$14,736",56,"$17,961",6
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,"1,124",28,21,"$18,875",16,"$18,992",7
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,"1,124",5,4,,2,,8
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,"1,124",1,1,,,,9
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,"1,124",1,1,,1,,10
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,"1,124",,,,,,11
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,"1,124",,,,,,12
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,"1,124",,,,,,13
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,"1,124",,,,,,14
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01041 + 01043,01043,Animal Science/Animal Health Science,"1,124",,,,,,15
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01121,01121,Agricultural Business,431,431,303,"$6,076",143,"$13,075",1
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01121,01121,Agricultural Business,431,315,240,"$8,421",133,"$13,229",2
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01121,01121,Agricultural Business,431,230,174,"$8,035",91,"$13,603",3
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01121,01121,Agricultural Business,431,116,87,"$11,242",59,"$14,460",4
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01121,01121,Agricultural Business,431,41,33,"$15,273",32,"$15,364",5
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01121,01121,Agricultural Business,431,15,12,"$17,932",9,"$20,604",6
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01121,01121,Agricultural Business,431,7,6,"$7,820",3,,7
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01121,01121,Agricultural Business,431,4,3,,2,,8
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01121,01121,Agricultural Business,431,,,,,,9
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01121,01121,Agricultural Business,431,,,,,,10
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01121,01121,Agricultural Business,431,,,,,,11
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01121,01121,Agricultural Business,431,,,,,,12
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01121,01121,Agricultural Business,431,,,,,,13
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01121,01121,Agricultural Business,431,,,,,,14
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01121,01121,Agricultural Business,431,,,,,,15
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,285,285,151,"$5,492",66,"$11,313",1
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,285,265,149,"$6,110",69,"$11,839",2
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,285,176,116,"$5,569",50,"$12,543",3
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,285,96,66,"$7,299",36,"$10,855",4
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,285,36,29,"$7,390",15,"$8,515",5
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,285,13,8,"$8,596",2,,6
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,285,5,3,,,,7
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,285,2,1,,,,8
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,285,,,,,,9
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,285,,,,,,10
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,285,,,,,,11
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,285,,,,,,12
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,285,,,,,,13
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,285,,,,,,14
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01130 + 01131,01131,Food Science and Technology,285,,,,,,15
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01991 + 01993,01993,Agricultural Biology and Plant & Irrigation Science,372,372,259,"$7,715",120,"$15,123",1
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01991 + 01993,01993,Agricultural Biology and Plant & Irrigation Science,372,326,234,"$8,179",116,"$13,938",2
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01991 + 01993,01993,Agricultural Biology and Plant & Irrigation Science,372,191,136,"$8,190",67,"$14,613",3
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01991 + 01993,01993,Agricultural Biology and Plant & Irrigation Science,372,101,76,"$8,760",38,"$16,604",4
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01991 + 01993,01993,Agricultural Biology and Plant & Irrigation Science,372,50,39,"$14,540",22,"$19,906",5
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01991 + 01993,01993,Agricultural Biology and Plant & Irrigation Science,372,16,9,"$39,803",6,"$47,690",6
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01991 + 01993,01993,Agricultural Biology and Plant & Irrigation Science,372,7,4,,2,,7
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01991 + 01993,01993,Agricultural Biology and Plant & Irrigation Science,372,4,2,,2,,8
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01991 + 01993,01993,Agricultural Biology and Plant & Irrigation Science,372,3,1,,1,,9
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01991 + 01993,01993,Agricultural Biology and Plant & Irrigation Science,372,1,1,,1,,10
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01991 + 01993,01993,Agricultural Biology and Plant & Irrigation Science,372,1,1,,1,,11
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01991 + 01993,01993,Agricultural Biology and Plant & Irrigation Science,372,1,1,,1,,12
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01991 + 01993,01993,Agricultural Biology and Plant & Irrigation Science,372,,,,,,13
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01991 + 01993,01993,Agricultural Biology and Plant & Irrigation Science,372,,,,,,14
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,01991 + 01993,01993,Agricultural Biology and Plant & Irrigation Science,372,,,,,,15
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02021,02021,Architecture,"1,183","1,183",670,"$5,886",280,"$12,807",1
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02021,02021,Architecture,"1,183","1,085",620,"$5,877",264,"$12,884",2
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02021,02021,Architecture,"1,183","1,025",612,"$7,497",235,"$14,378",3
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02021,02021,Architecture,"1,183",775,466,"$8,030",161,"$14,561",4
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02021,02021,Architecture,"1,183",164,91,"$9,419",38,"$15,137",5
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02021,02021,Architecture,"1,183",27,18,"$14,584",9,"$36,691",6
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02021,02021,Architecture,"1,183",6,3,,1,,7
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02021,02021,Architecture,"1,183",3,1,,1,,8
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02021,02021,Architecture,"1,183",1,,,,,9
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02021,02021,Architecture,"1,183",1,,,,,10
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02021,02021,Architecture,"1,183",,,,,,11
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02021,02021,Architecture,"1,183",,,,,,12
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02021,02021,Architecture,"1,183",,,,,,13
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02021,02021,Architecture,"1,183",,,,,,14
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02021,02021,Architecture,"1,183",,,,,,15
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02031,02031,Interior Design,237,237,137,"$7,890",79,"$13,001",1
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02031,02031,Interior Design,237,236,143,"$8,106",86,"$12,597",2
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02031,02031,Interior Design,237,230,148,"$9,276",87,"$12,627",3
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02031,02031,Interior Design,237,165,112,"$7,726",61,"$12,278",4
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02031,02031,Interior Design,237,74,53,"$8,211",29,"$11,747",5
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02031,02031,Interior Design,237,17,14,"$9,514",10,"$14,117",6
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02031,02031,Interior Design,237,2,2,,1,,7
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02031,02031,Interior Design,237,,,,,,8
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02031,02031,Interior Design,237,,,,,,9
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02031,02031,Interior Design,237,,,,,,10
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02031,02031,Interior Design,237,,,,,,11
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02031,02031,Interior Design,237,,,,,,12
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02031,02031,Interior Design,237,,,,,,13
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02031,02031,Interior Design,237,,,,,,14
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02031,02031,Interior Design,237,,,,,,15
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02041,02041,Landscape Architecture,853,853,544,"$7,607",293,"$14,185",1
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02041,02041,Landscape Architecture,853,787,493,"$8,583",286,"$12,878",2
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02041,02041,Landscape Architecture,853,620,405,"$7,793",222,"$12,657",3
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02041,02041,Landscape Architecture,853,266,171,"$7,963",92,"$13,774",4
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02041,02041,Landscape Architecture,853,85,61,"$9,720",36,"$13,912",5
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02041,02041,Landscape Architecture,853,25,19,"$15,051",11,"$13,353",6
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02041,02041,Landscape Architecture,853,11,8,"$14,201",6,"$17,945",7
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02041,02041,Landscape Architecture,853,6,5,"$23,802",5,"$23,802",8
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02041,02041,Landscape Architecture,853,4,4,,4,,9
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02041,02041,Landscape Architecture,853,1,1,,1,,10
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02041,02041,Landscape Architecture,853,,,,,,11
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02041,02041,Landscape Architecture,853,,,,,,12
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02041,02041,Landscape Architecture,853,,,,,,13
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02041,02041,Landscape Architecture,853,,,,,,14
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02041,02041,Landscape Architecture,853,,,,,,15
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02061,02061,City and Regional Planning,673,673,453,"$8,722",265,"$14,567",1
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02061,02061,City and Regional Planning,673,628,467,"$9,585",261,"$15,545",2
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02061,02061,City and Regional Planning,673,337,244,"$11,517",152,"$17,106",3
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02061,02061,City and Regional Planning,673,165,122,"$10,731",76,"$16,281",4
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02061,02061,City and Regional Planning,673,63,47,"$16,272",39,"$24,375",5
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02061,02061,City and Regional Planning,673,20,15,"$34,627",13,"$36,330",6
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02061,02061,City and Regional Planning,673,9,5,"$17,715",4,,7
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02061,02061,City and Regional Planning,673,4,2,,2,,8
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02061,02061,City and Regional Planning,673,3,2,,2,,9
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02061,02061,City and Regional Planning,673,,,,,,10
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02061,02061,City and Regional Planning,673,,,,,,11
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02061,02061,City and Regional Planning,673,,,,,,12
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02061,02061,City and Regional Planning,673,,,,,,13
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02061,02061,City and Regional Planning,673,,,,,,14
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,02061,02061,City and Regional Planning,673,,,,,,15
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,134,134,67,"$5,939",35,"$11,823",1
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,134,114,57,"$7,755",34,"$10,690",2
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,134,86,44,"$7,943",23,"$11,350",3
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,134,47,26,"$10,131",15,"$12,570",4
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,134,19,14,"$11,952",12,"$15,580",5
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,134,8,5,"$11,741",4,,6
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,134,4,3,,2,,7
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,134,2,1,,1,,8
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,134,1,,,,,9
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,134,,,,,,10
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,134,,,,,,11
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,134,,,,,,12
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,134,,,,,,13
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,134,,,,,,14
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03011 + 03021 + 03071,03071,Asian/East Asian Studies,134,,,,,,15
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,66,66,45,"$7,273",24,"$11,659",1
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,66,57,40,"$8,861",25,"$14,672",2
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,66,40,24,"$11,430",18,"$12,184",3
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,66,33,22,"$10,387",17,"$10,690",4
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,66,18,15,"$13,315",11,"$16,846",5
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,66,8,7,"$15,855",5,"$26,082",6
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,66,6,5,"$17,993",5,"$17,993",7
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,66,5,5,"$16,669",5,"$16,669",8
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,66,3,3,,2,,9
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,66,1,1,,1,,10
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,66,1,1,,1,,11
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,66,1,1,,1,,12
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,66,,,,,,13
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,66,,,,,,14
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03081 + 03085,03085,Latin/Central American Studies,66,,,,,,15
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,44,44,28,"$9,030",14,"$13,669",1
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,44,36,22,"$12,736",17,"$16,051",2
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,44,22,12,"$13,534",9,"$15,540",3
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,44,14,7,"$15,951",4,,4
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,44,6,4,,1,,5
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,44,2,2,,1,,6
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,44,1,1,,1,,7
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,44,,,,,,8
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,44,,,,,,9
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,44,,,,,,10
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,44,,,,,,11
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,44,,,,,,12
10 + 40 + 50 + 55 + 70 + 73,1,FTF + FTT,03101 + 03121 + 03122,03122,European Studies,44,,,,,,13
