Campus,Location,Student Path,Entry Stat,HEGIS at Exit,HEGIS For Tableau,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
70,Northridge,1,FTF + FTT,04111,04111,Microbiology,"Professional, Scientific, & Technical Skills",6,"$63,142","$76,783",3,,
70,Northridge,1,FTF + FTT,04111,04111,Microbiology,Management of Companies & Enterprises,1,,,,,
70,Northridge,1,FTF + FTT,04111,04111,Microbiology,Admin & Support & Waste Mgmt & Remediation,4,,,,,
70,Northridge,1,FTF + FTT,04111,04111,Microbiology,Health Care & Social Assistance,11,"$89,190","$81,385",5,"$84,966","$97,629"
70,Northridge,1,FTF + FTT,04111,04111,Microbiology,"Arts, Entertainment, & Recreation",1,,,,,
70,Northridge,1,FTF + FTT,04111,04111,Microbiology,Other Services,3,,,,,
70,Northridge,1,FTF + FTT,04111,04111,Microbiology,Government,11,"$73,019","$76,586",7,"$91,281","$93,969"
70,Northridge,1,FTF + FTT,04111,04111,Microbiology,Wages - No NAICS Code,1,,,,,
70,Northridge,1,FTF + FTT,04141,04141,Biochemistry,Construction,1,,,,,
70,Northridge,1,FTF + FTT,04141,04141,Biochemistry,Manufacturing,23,"$63,333","$65,048",15,"$74,833","$82,011"
70,Northridge,1,FTF + FTT,04141,04141,Biochemistry,Wholesale Trade,1,,,1,,
70,Northridge,1,FTF + FTT,04141,04141,Biochemistry,Retail Trade,7,"$14,781","$23,681",1,,
70,Northridge,1,FTF + FTT,04141,04141,Biochemistry,Finance & Insurance,3,,,2,,
70,Northridge,1,FTF + FTT,04141,04141,Biochemistry,Real Estate & Rental & Leasing,,,,1,,
70,Northridge,1,FTF + FTT,04141,04141,Biochemistry,"Professional, Scientific, & Technical Skills",9,"$51,448","$56,739",5,"$66,165","$65,095"
70,Northridge,1,FTF + FTT,04141,04141,Biochemistry,Admin & Support & Waste Mgmt & Remediation,9,"$45,602","$56,375",3,,
70,Northridge,1,FTF + FTT,04141,04141,Biochemistry,Educational Services,11,"$47,674","$34,948",6,"$68,183","$59,565"
70,Northridge,1,FTF + FTT,04141,04141,Biochemistry,Health Care & Social Assistance,15,"$53,553","$61,694",9,"$52,630","$52,238"
70,Northridge,1,FTF + FTT,04141,04141,Biochemistry,"Arts, Entertainment, & Recreation",1,,,,,
70,Northridge,1,FTF + FTT,04141,04141,Biochemistry,Accommodation & Food Services,2,,,,,
70,Northridge,1,FTF + FTT,04141,04141,Biochemistry,Other Services,3,,,,,
70,Northridge,1,FTF + FTT,04141,04141,Biochemistry,Government,3,,,1,,
70,Northridge,1,FTF + FTT,04141,04141,Biochemistry,Wages - No NAICS Code,1,,,,,
70,Northridge,1,FTF + FTT,04152,04152,Biomedical Physics,Manufacturing,1,,,1,,
70,Northridge,1,FTF + FTT,04152,04152,Biomedical Physics,Finance & Insurance,1,,,1,,
70,Northridge,1,FTF + FTT,04152,04152,Biomedical Physics,Admin & Support & Waste Mgmt & Remediation,,,,1,,
70,Northridge,1,FTF + FTT,04152,04152,Biomedical Physics,Educational Services,1,,,2,,
70,Northridge,1,FTF + FTT,04152,04152,Biomedical Physics,Health Care & Social Assistance,3,,,4,,
70,Northridge,1,FTF + FTT,04152,04152,Biomedical Physics,Government,2,,,1,,
70,Northridge,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Construction,1,,,,,
70,Northridge,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Manufacturing,28,"$67,490","$65,228",10,"$83,558","$90,967"
70,Northridge,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Wholesale Trade,3,,,1,,
70,Northridge,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Retail Trade,7,"$9,163","$21,000",2,,
70,Northridge,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Transportation & Warehousing,1,,,,,
70,Northridge,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Information,1,,,,,
70,Northridge,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Finance & Insurance,2,,,1,,
70,Northridge,1,FTF + FTT,04171,04171,Cell and Molecular Biology,"Professional, Scientific, & Technical Skills",18,"$61,344","$60,376",3,,
70,Northridge,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Admin & Support & Waste Mgmt & Remediation,4,,,4,,
70,Northridge,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Educational Services,9,"$58,348","$48,737",7,"$69,312","$86,159"
70,Northridge,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Health Care & Social Assistance,28,"$49,334","$53,684",16,"$83,783","$90,368"
70,Northridge,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Accommodation & Food Services,2,,,,,
70,Northridge,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Other Services,3,,,3,,
70,Northridge,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Government,6,"$57,749","$65,119",9,"$69,176","$73,577"
70,Northridge,1,FTF + FTT,04171,04171,Cell and Molecular Biology,Wages - No NAICS Code,4,,,4,,
70,Northridge,1,FTF + FTT,04201,04201,Environmental Biology & Ecology,Manufacturing,3,,,2,,
70,Northridge,1,FTF + FTT,04201,04201,Environmental Biology & Ecology,Wholesale Trade,1,,,,,
70,Northridge,1,FTF + FTT,04201,04201,Environmental Biology & Ecology,Retail Trade,3,,,,,
70,Northridge,1,FTF + FTT,04201,04201,Environmental Biology & Ecology,Finance & Insurance,2,,,,,
70,Northridge,1,FTF + FTT,04201,04201,Environmental Biology & Ecology,"Professional, Scientific, & Technical Skills",14,"$41,224","$43,421",5,"$70,560","$63,385"
70,Northridge,1,FTF + FTT,04201,04201,Environmental Biology & Ecology,Admin & Support & Waste Mgmt & Remediation,,,,1,,
70,Northridge,1,FTF + FTT,04201,04201,Environmental Biology & Ecology,Educational Services,7,"$45,666","$44,533",6,"$61,609","$69,486"
70,Northridge,1,FTF + FTT,04201,04201,Environmental Biology & Ecology,Health Care & Social Assistance,2,,,2,,
70,Northridge,1,FTF + FTT,04201,04201,Environmental Biology & Ecology,"Arts, Entertainment, & Recreation",4,,,3,,
70,Northridge,1,FTF + FTT,04201,04201,Environmental Biology & Ecology,Accommodation & Food Services,2,,,,,
70,Northridge,1,FTF + FTT,04201,04201,Environmental Biology & Ecology,Other Services,2,,,,,
70,Northridge,1,FTF + FTT,04201,04201,Environmental Biology & Ecology,Government,6,"$39,658","$48,434",4,,
70,Northridge,1,FTF + FTT,04201,04201,Environmental Biology & Ecology,Wages - No NAICS Code,2,,,1,,
70,Northridge,1,FTF + FTT,05011,05011,Business Administration,Utilities,4,,,3,,
70,Northridge,1,FTF + FTT,05011,05011,Business Administration,Construction,18,"$73,142","$69,997",13,"$74,160","$112,182"
70,Northridge,1,FTF + FTT,05011,05011,Business Administration,Manufacturing,37,"$64,410","$63,027",17,"$68,711","$74,997"
70,Northridge,1,FTF + FTT,05011,05011,Business Administration,Wholesale Trade,26,"$52,947","$59,095",16,"$67,572","$93,780"
70,Northridge,1,FTF + FTT,05011,05011,Business Administration,Retail Trade,48,"$42,784","$52,179",20,"$56,595","$68,396"
70,Northridge,1,FTF + FTT,05011,05011,Business Administration,Transportation & Warehousing,5,"$39,244","$38,569",7,"$56,328","$69,320"
70,Northridge,1,FTF + FTT,05011,05011,Business Administration,Information,36,"$72,311","$68,262",17,"$77,249","$84,414"
70,Northridge,1,FTF + FTT,05011,05011,Business Administration,Finance & Insurance,131,"$65,866","$63,995",78,"$87,110","$90,500"
70,Northridge,1,FTF + FTT,05011,05011,Business Administration,Real Estate & Rental & Leasing,21,"$50,771","$53,613",12,"$93,810","$89,785"
70,Northridge,1,FTF + FTT,05011,05011,Business Administration,"Professional, Scientific, & Technical Skills",135,"$50,610","$50,882",74,"$70,699","$80,098"
70,Northridge,1,FTF + FTT,05011,05011,Business Administration,Management of Companies & Enterprises,4,,,1,,
70,Northridge,1,FTF + FTT,05011,05011,Business Administration,Admin & Support & Waste Mgmt & Remediation,47,"$41,328","$41,234",17,"$74,743","$77,162"
70,Northridge,1,FTF + FTT,05011,05011,Business Administration,Educational Services,26,"$42,395","$39,336",14,"$51,753","$53,885"
70,Northridge,1,FTF + FTT,05011,05011,Business Administration,Health Care & Social Assistance,30,"$39,458","$48,511",22,"$30,126","$52,749"
70,Northridge,1,FTF + FTT,05011,05011,Business Administration,"Arts, Entertainment, & Recreation",12,"$49,152","$47,917",7,"$80,416","$83,718"
70,Northridge,1,FTF + FTT,05011,05011,Business Administration,Accommodation & Food Services,20,"$29,190","$36,002",12,"$51,632","$73,744"
70,Northridge,1,FTF + FTT,05011,05011,Business Administration,Other Services,12,"$53,170","$53,600",9,"$53,665","$56,251"
70,Northridge,1,FTF + FTT,05011,05011,Business Administration,Non-Classified,1,,,1,,
70,Northridge,1,FTF + FTT,05011,05011,Business Administration,Government,37,"$61,896","$63,799",28,"$86,108","$85,451"
70,Northridge,1,FTF + FTT,05011,05011,Business Administration,Wages - No NAICS Code,20,"$34,006","$43,742",13,"$54,684","$65,858"
70,Northridge,1,FTF + FTT,05012,05012,Business Education,Construction,,,,1,,
70,Northridge,1,FTF + FTT,05012,05012,Business Education,Retail Trade,,,,1,,
70,Northridge,1,FTF + FTT,05012,05012,Business Education,Finance & Insurance,,,,1,,
70,Northridge,1,FTF + FTT,05012,05012,Business Education,Real Estate & Rental & Leasing,1,,,,,
70,Northridge,1,FTF + FTT,05012,05012,Business Education,"Professional, Scientific, & Technical Skills",1,,,1,,
70,Northridge,1,FTF + FTT,05012,05012,Business Education,Educational Services,1,,,1,,
70,Northridge,1,FTF + FTT,05021,05021,Accounting,"Agriculture, Forestry, Fishing, & Hunting",7,"$68,932","$61,811",3,,
70,Northridge,1,FTF + FTT,05021,05021,Accounting,Mining,2,,,1,,
70,Northridge,1,FTF + FTT,05021,05021,Accounting,Utilities,10,"$115,100","$112,993",7,"$111,128","$113,132"
70,Northridge,1,FTF + FTT,05021,05021,Accounting,Construction,23,"$71,783","$64,076",18,"$93,560","$94,166"
70,Northridge,1,FTF + FTT,05021,05021,Accounting,Manufacturing,74,"$70,708","$69,972",59,"$91,437","$98,645"
70,Northridge,1,FTF + FTT,05021,05021,Accounting,Wholesale Trade,45,"$56,321","$57,277",43,"$75,842","$77,698"
70,Northridge,1,FTF + FTT,05021,05021,Accounting,Retail Trade,55,"$53,243","$58,733",32,"$71,486","$103,043"
70,Northridge,1,FTF + FTT,05021,05021,Accounting,Transportation & Warehousing,22,"$74,433","$68,425",18,"$98,337","$103,237"
70,Northridge,1,FTF + FTT,05021,05021,Accounting,Information,111,"$76,827","$74,057",81,"$91,534","$103,731"
70,Northridge,1,FTF + FTT,05021,05021,Accounting,Finance & Insurance,181,"$75,914","$76,930",121,"$100,820","$108,309"
70,Northridge,1,FTF + FTT,05021,05021,Accounting,Real Estate & Rental & Leasing,82,"$73,969","$75,288",51,"$93,011","$89,983"
70,Northridge,1,FTF + FTT,05021,05021,Accounting,"Professional, Scientific, & Technical Skills",793,"$80,703","$77,247",334,"$94,733","$96,749"
70,Northridge,1,FTF + FTT,05021,05021,Accounting,Management of Companies & Enterprises,17,"$79,990","$77,674",12,"$94,952","$90,934"
70,Northridge,1,FTF + FTT,05021,05021,Accounting,Admin & Support & Waste Mgmt & Remediation,110,"$61,228","$62,208",73,"$81,491","$83,072"
70,Northridge,1,FTF + FTT,05021,05021,Accounting,Educational Services,43,"$61,137","$60,282",38,"$63,866","$63,146"
70,Northridge,1,FTF + FTT,05021,05021,Accounting,Health Care & Social Assistance,69,"$51,134","$55,222",66,"$43,918","$57,905"
70,Northridge,1,FTF + FTT,05021,05021,Accounting,"Arts, Entertainment, & Recreation",13,"$46,742","$69,919",8,"$94,238","$108,055"
70,Northridge,1,FTF + FTT,05021,05021,Accounting,Accommodation & Food Services,25,"$45,274","$43,662",11,"$37,019","$48,357"
70,Northridge,1,FTF + FTT,05021,05021,Accounting,Other Services,27,"$46,130","$48,443",16,"$40,074","$55,424"
70,Northridge,1,FTF + FTT,05021,05021,Accounting,Non-Classified,1,,,,,
70,Northridge,1,FTF + FTT,05021,05021,Accounting,Government,92,"$74,302","$76,189",60,"$92,666","$92,160"
70,Northridge,1,FTF + FTT,05021,05021,Accounting,Wages - No NAICS Code,66,"$70,687","$73,800",54,"$92,630","$90,402"
70,Northridge,1,FTF + FTT,05041,05041,Finance,"Agriculture, Forestry, Fishing, & Hunting",6,"$36,604","$41,088",6,"$19,053","$35,946"
70,Northridge,1,FTF + FTT,05041,05041,Finance,Utilities,9,"$93,354","$98,178",10,"$110,646","$114,375"
70,Northridge,1,FTF + FTT,05041,05041,Finance,Construction,47,"$51,067","$57,143",29,"$60,534","$69,653"
70,Northridge,1,FTF + FTT,05041,05041,Finance,Manufacturing,145,"$69,815","$76,929",88,"$83,541","$85,420"
70,Northridge,1,FTF + FTT,05041,05041,Finance,Wholesale Trade,118,"$56,184","$66,783",83,"$64,537","$73,676"
70,Northridge,1,FTF + FTT,05041,05041,Finance,Retail Trade,155,"$50,637","$55,330",73,"$65,834","$73,076"
70,Northridge,1,FTF + FTT,05041,05041,Finance,Transportation & Warehousing,54,"$48,646","$54,540",19,"$55,658","$56,991"
70,Northridge,1,FTF + FTT,05041,05041,Finance,Information,208,"$72,040","$73,698",122,"$87,557","$94,563"
70,Northridge,1,FTF + FTT,05041,05041,Finance,Finance & Insurance,875,"$70,202","$79,144",503,"$88,280","$102,529"
