Campus,Location,Student Path,Entry Stat,HEGIS At Exit,HEGIS for Tableau,Major,Potential # of Students,Potential # of Students For Each Year Out of School,25th Percentile Earnings,50th Percentile Earnings,75th Percentile Earnings,Average Earnings,# of Students Found,Year,% students found
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,164,7,,,,,,13,
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,164,7,,,,,,14,
73,Channel Islands,1,FTF + FTT,00121 + 12031 + 12032,12032,Pre-Nursing & Nursing RN-BS,164,7,,,,,,15,
73,Channel Islands,1,FTF + FTT,04011,04011,Biology,684,596,"$12,768","$23,906","$36,185","$27,063",464,1,77.85%
73,Channel Islands,1,FTF + FTT,04011,04011,Biology,684,498,"$18,129","$35,250","$49,636","$36,301",364,2,73.09%
73,Channel Islands,1,FTF + FTT,04011,04011,Biology,684,407,"$22,837","$41,666","$58,221","$42,094",292,3,71.74%
73,Channel Islands,1,FTF + FTT,04011,04011,Biology,684,331,"$30,401","$52,355","$67,881","$50,884",215,4,64.95%
73,Channel Islands,1,FTF + FTT,04011,04011,Biology,684,269,"$34,332","$53,919","$78,667","$56,373",169,5,62.83%
73,Channel Islands,1,FTF + FTT,04011,04011,Biology,684,243,"$37,802","$59,634","$81,069","$61,245",139,6,57.20%
73,Channel Islands,1,FTF + FTT,04011,04011,Biology,684,229,"$45,914","$61,981","$86,156","$67,228",125,7,54.59%
73,Channel Islands,1,FTF + FTT,04011,04011,Biology,684,194,"$47,324","$71,788","$91,188","$70,963",98,8,50.52%
73,Channel Islands,1,FTF + FTT,04011,04011,Biology,684,167,"$43,630","$69,106","$100,986","$72,467",77,9,46.11%
73,Channel Islands,1,FTF + FTT,04011,04011,Biology,684,135,"$49,406","$67,107","$92,867","$71,063",54,10,40.00%
73,Channel Islands,1,FTF + FTT,04011,04011,Biology,684,119,"$58,060","$78,935","$93,328","$78,628",41,11,34.45%
73,Channel Islands,1,FTF + FTT,04011,04011,Biology,684,98,"$54,056","$78,393","$116,795","$85,740",31,12,31.63%
73,Channel Islands,1,FTF + FTT,04011,04011,Biology,684,78,"$46,902","$69,469","$96,530","$74,193",16,13,20.51%
73,Channel Islands,1,FTF + FTT,04011,04011,Biology,684,66,"$57,372","$67,100","$94,291","$78,768",9,14,13.64%
73,Channel Islands,1,FTF + FTT,04011,04011,Biology,684,59,"$45,729","$72,205","$91,024","$69,130",6,15,10.17%
73,Channel Islands,1,FTF + FTT,04171,04171,Cell and Molecular Biology,57,57,"$14,442","$27,629","$46,779","$30,919",47,1,82.46%
73,Channel Islands,1,FTF + FTT,04171,04171,Cell and Molecular Biology,57,57,"$23,585","$41,055","$50,882","$37,588",47,2,82.46%
73,Channel Islands,1,FTF + FTT,04171,04171,Cell and Molecular Biology,57,57,"$20,105","$43,600","$50,564","$41,486",47,3,82.46%
73,Channel Islands,1,FTF + FTT,04171,04171,Cell and Molecular Biology,57,56,"$23,068","$44,589","$69,390","$47,848",41,4,73.21%
73,Channel Islands,1,FTF + FTT,04171,04171,Cell and Molecular Biology,57,53,"$26,188","$50,272","$69,751","$49,653",41,5,77.36%
73,Channel Islands,1,FTF + FTT,04171,04171,Cell and Molecular Biology,57,46,"$41,759","$64,818","$87,765","$63,099",34,6,73.91%
73,Channel Islands,1,FTF + FTT,04171,04171,Cell and Molecular Biology,57,44,"$47,837","$73,201","$100,807","$73,360",32,7,72.73%
73,Channel Islands,1,FTF + FTT,04171,04171,Cell and Molecular Biology,57,37,"$49,565","$73,124","$103,583","$75,920",27,8,72.97%
73,Channel Islands,1,FTF + FTT,04171,04171,Cell and Molecular Biology,57,33,"$47,734","$84,319","$104,679","$79,576",26,9,78.79%
73,Channel Islands,1,FTF + FTT,04171,04171,Cell and Molecular Biology,57,26,"$36,172","$72,836","$111,770","$76,866",20,10,76.92%
73,Channel Islands,1,FTF + FTT,04171,04171,Cell and Molecular Biology,57,20,"$36,985","$81,199","$104,627","$76,602",16,11,80.00%
73,Channel Islands,1,FTF + FTT,04171,04171,Cell and Molecular Biology,57,9,"$41,428","$91,442","$149,072","$95,753",7,12,77.78%
73,Channel Islands,1,FTF + FTT,04171,04171,Cell and Molecular Biology,57,4,,,,,3,13,75.00%
73,Channel Islands,1,FTF + FTT,04171,04171,Cell and Molecular Biology,57,,,,,,,14,
73,Channel Islands,1,FTF + FTT,04171,04171,Cell and Molecular Biology,57,,,,,,,15,
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,"1,765","1,666","$20,968","$34,475","$48,203","$36,487","1,409",1,84.57%
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,"1,765","1,510","$27,796","$43,468","$57,925","$45,288","1,259",2,83.38%
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,"1,765","1,328","$34,468","$49,196","$63,779","$51,233","1,069",3,80.50%
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,"1,765","1,175","$37,275","$52,700","$66,863","$54,771",927,4,78.89%
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,"1,765","1,047","$38,862","$56,732","$71,799","$57,717",796,5,76.03%
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,"1,765",989,"$41,214","$60,171","$77,397","$62,745",738,6,74.62%
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,"1,765",923,"$41,464","$62,901","$84,103","$67,050",660,7,71.51%
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,"1,765",791,"$42,659","$66,704","$89,150","$70,103",540,8,68.27%
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,"1,765",697,"$45,744","$68,374","$93,485","$73,258",457,9,65.57%
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,"1,765",557,"$48,371","$72,952","$101,831","$81,249",357,10,64.09%
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,"1,765",455,"$51,745","$76,049","$101,549","$82,771",289,11,63.52%
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,"1,765",353,"$52,321","$78,582","$110,229","$88,117",208,12,58.92%
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,"1,765",259,"$51,583","$80,632","$116,336","$93,457",148,13,57.14%
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,"1,765",177,"$56,108","$88,063","$127,444","$104,065",80,14,45.20%
73,Channel Islands,1,FTF + FTT,05011,05011,Business Administration,"1,765",110,"$78,244","$102,781","$138,145","$112,817",32,15,29.09%
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,729,680,"$15,797","$26,995","$37,860","$29,351",594,1,87.35%
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,729,590,"$21,037","$36,563","$48,543","$37,493",496,2,84.07%
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,729,470,"$25,129","$41,073","$58,075","$44,576",386,3,82.13%
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,729,360,"$31,276","$47,844","$64,391","$51,037",289,4,80.28%
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,729,271,"$30,488","$48,920","$67,246","$53,269",212,5,78.23%
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,729,231,"$38,104","$54,198","$72,848","$59,586",163,6,70.56%
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,729,193,"$38,667","$56,022","$74,983","$57,788",122,7,63.21%
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,729,156,"$40,275","$58,190","$88,466","$67,217",90,8,57.69%
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,729,108,"$40,958","$63,126","$89,689","$71,814",54,9,50.00%
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,729,59,"$26,404","$49,999","$93,191","$61,660",22,10,37.29%
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,729,30,,,,,4,11,13.33%
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,729,24,,,,,,12,
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,729,24,,,,,,13,
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,729,24,,,,,,14,
73,Channel Islands,1,FTF + FTT,06011,06011,Communications,729,24,,,,,,15,
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,365,303,"$26,383","$46,251","$65,758","$48,788",226,1,74.59%
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,365,267,"$46,138","$63,542","$80,085","$64,217",189,2,70.79%
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,365,217,"$55,940","$71,935","$89,890","$72,910",152,3,70.05%
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,365,181,"$53,928","$77,648","$93,839","$74,248",125,4,69.06%
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,365,163,"$58,669","$80,402","$98,690","$79,686",100,5,61.35%
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,365,150,"$65,917","$85,100","$110,108","$85,509",90,6,60.00%
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,365,137,"$64,856","$86,947","$107,991","$89,135",80,7,58.39%
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,365,117,"$56,159","$85,607","$107,936","$89,552",62,8,52.99%
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,365,94,"$59,856","$82,820","$127,686","$97,651",47,9,50.00%
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,365,77,"$68,888","$85,718","$130,888","$107,468",33,10,42.86%
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,365,64,"$62,062","$93,272","$131,082","$110,841",25,11,39.06%
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,365,57,"$72,128","$100,676","$155,916","$128,272",21,12,36.84%
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,365,47,"$51,658","$89,076","$108,157","$116,312",14,13,29.79%
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,365,40,"$51,683","$82,027","$110,180","$79,163",10,14,25.00%
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,365,31,,,,,2,15,6.45%
73,Channel Islands,1,FTF + FTT,08231 + 08232,08232,Child Development,250,227,"$14,014","$22,151","$31,110","$22,715",181,1,79.74%
73,Channel Islands,1,FTF + FTT,08231 + 08232,08232,Child Development,250,191,"$16,798","$27,458","$35,908","$27,311",149,2,78.01%
73,Channel Islands,1,FTF + FTT,08231 + 08232,08232,Child Development,250,131,"$15,631","$25,904","$34,891","$25,839",101,3,77.10%
73,Channel Islands,1,FTF + FTT,08231 + 08232,08232,Child Development,250,88,"$19,098","$30,275","$38,420","$30,179",60,4,68.18%
73,Channel Islands,1,FTF + FTT,08231 + 08232,08232,Child Development,250,74,"$22,346","$32,075","$40,206","$30,673",51,5,68.92%
73,Channel Islands,1,FTF + FTT,08231 + 08232,08232,Child Development,250,66,"$17,688","$37,880","$47,156","$34,563",43,6,65.15%
73,Channel Islands,1,FTF + FTT,08231 + 08232,08232,Child Development,250,51,"$21,839","$40,454","$48,742","$36,911",31,7,60.78%
73,Channel Islands,1,FTF + FTT,08231 + 08232,08232,Child Development,250,34,"$29,519","$41,118","$52,121","$47,977",17,8,50.00%
73,Channel Islands,1,FTF + FTT,08231 + 08232,08232,Child Development,250,20,"$31,157","$47,902","$110,156","$62,919",6,9,30.00%
73,Channel Islands,1,FTF + FTT,08231 + 08232,08232,Child Development,250,14,,,,,4,10,28.57%
73,Channel Islands,1,FTF + FTT,08231 + 08232,08232,Child Development,250,9,,,,,,11,
73,Channel Islands,1,FTF + FTT,08231 + 08232,08232,Child Development,250,9,,,,,,12,
73,Channel Islands,1,FTF + FTT,08231 + 08232,08232,Child Development,250,9,,,,,,13,
73,Channel Islands,1,FTF + FTT,08231 + 08232,08232,Child Development,250,9,,,,,,14,
73,Channel Islands,1,FTF + FTT,08231 + 08232,08232,Child Development,250,9,,,,,,15,
73,Channel Islands,1,FTF + FTT,10015,10015,Performing Arts,77,73,"$7,521","$16,841","$27,555","$18,293",60,1,82.19%
73,Channel Islands,1,FTF + FTT,10015,10015,Performing Arts,77,69,"$13,355","$23,039","$32,977","$25,172",57,2,82.61%
73,Channel Islands,1,FTF + FTT,10015,10015,Performing Arts,77,58,"$13,056","$26,410","$38,622","$28,662",48,3,82.76%
73,Channel Islands,1,FTF + FTT,10015,10015,Performing Arts,77,47,"$14,337","$25,113","$38,968","$28,649",39,4,82.98%
73,Channel Islands,1,FTF + FTT,10015,10015,Performing Arts,77,37,"$13,276","$30,352","$40,569","$27,386",27,5,72.97%
73,Channel Islands,1,FTF + FTT,10015,10015,Performing Arts,77,29,"$27,905","$38,094","$48,327","$38,669",19,6,65.52%
73,Channel Islands,1,FTF + FTT,10015,10015,Performing Arts,77,24,"$17,801","$30,232","$49,450","$34,309",17,7,70.83%
73,Channel Islands,1,FTF + FTT,10015,10015,Performing Arts,77,19,"$30,196","$39,793","$49,152","$38,854",13,8,68.42%
73,Channel Islands,1,FTF + FTT,10015,10015,Performing Arts,77,13,"$33,518","$39,616","$46,109","$38,572",7,9,53.85%
73,Channel Islands,1,FTF + FTT,10015,10015,Performing Arts,77,12,"$28,312","$35,272","$53,197","$37,414",7,10,58.33%
73,Channel Islands,1,FTF + FTT,10015,10015,Performing Arts,77,7,,,,,3,11,42.86%
73,Channel Islands,1,FTF + FTT,10015,10015,Performing Arts,77,3,,,,,,12,
73,Channel Islands,1,FTF + FTT,10015,10015,Performing Arts,77,3,,,,,,13,
73,Channel Islands,1,FTF + FTT,10015,10015,Performing Arts,77,3,,,,,,14,
73,Channel Islands,1,FTF + FTT,10015,10015,Performing Arts,77,3,,,,,,15,
73,Channel Islands,1,FTF + FTT,10021 + 10022,10022,Art,657,623,"$9,163","$20,112","$31,679","$23,183",470,1,75.44%
73,Channel Islands,1,FTF + FTT,10021 + 10022,10022,Art,657,581,"$15,241","$25,603","$41,549","$30,718",430,2,74.01%
73,Channel Islands,1,FTF + FTT,10021 + 10022,10022,Art,657,517,"$17,322","$31,943","$48,694","$35,907",366,3,70.79%
73,Channel Islands,1,FTF + FTT,10021 + 10022,10022,Art,657,470,"$15,766","$34,858","$51,338","$37,202",338,4,71.91%
73,Channel Islands,1,FTF + FTT,10021 + 10022,10022,Art,657,419,"$20,680","$39,260","$57,729","$42,609",285,5,68.02%
73,Channel Islands,1,FTF + FTT,10021 + 10022,10022,Art,657,403,"$22,413","$44,530","$62,101","$47,104",278,6,68.98%
73,Channel Islands,1,FTF + FTT,10021 + 10022,10022,Art,657,388,"$22,151","$44,616","$63,618","$50,002",267,7,68.81%
73,Channel Islands,1,FTF + FTT,10021 + 10022,10022,Art,657,344,"$27,762","$49,675","$66,913","$54,384",233,8,67.73%
73,Channel Islands,1,FTF + FTT,10021 + 10022,10022,Art,657,292,"$27,945","$52,172","$75,092","$54,998",187,9,64.04%
73,Channel Islands,1,FTF + FTT,10021 + 10022,10022,Art,657,245,"$27,727","$54,474","$80,406","$59,933",148,10,60.41%
73,Channel Islands,1,FTF + FTT,10021 + 10022,10022,Art,657,208,"$28,223","$51,562","$82,174","$64,047",117,11,56.25%
73,Channel Islands,1,FTF + FTT,10021 + 10022,10022,Art,657,151,"$28,928","$57,114","$96,680","$67,476",82,12,54.30%
73,Channel Islands,1,FTF + FTT,10021 + 10022,10022,Art,657,106,"$41,414","$60,005","$108,389","$82,166",51,13,48.11%
73,Channel Islands,1,FTF + FTT,10021 + 10022,10022,Art,657,74,"$42,164","$75,625","$101,134","$87,410",31,14,41.89%
73,Channel Islands,1,FTF + FTT,10021 + 10022,10022,Art,657,43,"$57,162","$92,257","$99,706","$80,718",13,15,30.23%
73,Channel Islands,1,FTF + FTT,10031,10031,Art History,14,12,"$10,193","$26,547","$32,937","$22,686",10,1,83.33%
73,Channel Islands,1,FTF + FTT,10031,10031,Art History,14,8,"$4,030","$24,320","$36,499","$22,012",7,2,87.50%
73,Channel Islands,1,FTF + FTT,10031,10031,Art History,14,2,,,,,2,3,100.00%
73,Channel Islands,1,FTF + FTT,10031,10031,Art History,14,,,,,,,4,
73,Channel Islands,1,FTF + FTT,10031,10031,Art History,14,,,,,,,5,
73,Channel Islands,1,FTF + FTT,10031,10031,Art History,14,,,,,,,6,
73,Channel Islands,1,FTF + FTT,10031,10031,Art History,14,,,,,,,7,
73,Channel Islands,1,FTF + FTT,10031,10031,Art History,14,,,,,,,8,
73,Channel Islands,1,FTF + FTT,10031,10031,Art History,14,,,,,,,9,
73,Channel Islands,1,FTF + FTT,10031,10031,Art History,14,,,,,,,10,
73,Channel Islands,1,FTF + FTT,10031,10031,Art History,14,,,,,,,11,
73,Channel Islands,1,FTF + FTT,10031,10031,Art History,14,,,,,,,12,
73,Channel Islands,1,FTF + FTT,10031,10031,Art History,14,,,,,,,13,
73,Channel Islands,1,FTF + FTT,10031,10031,Art History,14,,,,,,,14,
73,Channel Islands,1,FTF + FTT,10031,10031,Art History,14,,,,,,,15,
73,Channel Islands,1,FTF + FTT,11051,11051,Spanish,72,68,"$14,210","$25,208","$37,086","$28,323",51,1,75.00%
73,Channel Islands,1,FTF + FTT,11051,11051,Spanish,72,59,"$10,826","$23,558","$41,035","$28,347",45,2,76.27%
73,Channel Islands,1,FTF + FTT,11051,11051,Spanish,72,48,"$12,836","$29,160","$44,170","$30,565",34,3,70.83%
73,Channel Islands,1,FTF + FTT,11051,11051,Spanish,72,46,"$15,365","$28,052","$49,446","$34,382",35,4,76.09%
73,Channel Islands,1,FTF + FTT,11051,11051,Spanish,72,41,"$20,927","$39,152","$55,237","$40,068",30,5,73.17%
73,Channel Islands,1,FTF + FTT,11051,11051,Spanish,72,40,"$25,850","$45,871","$63,821","$47,389",29,6,72.50%
73,Channel Islands,1,FTF + FTT,11051,11051,Spanish,72,39,"$25,842","$50,725","$68,603","$48,683",25,7,64.10%
73,Channel Islands,1,FTF + FTT,11051,11051,Spanish,72,32,"$27,799","$56,735","$69,463","$53,736",18,8,56.25%
73,Channel Islands,1,FTF + FTT,11051,11051,Spanish,72,25,"$25,225","$43,855","$69,395","$53,513",15,9,60.00%
73,Channel Islands,1,FTF + FTT,11051,11051,Spanish,72,20,"$22,952","$56,737","$75,085","$60,446",11,10,55.00%
73,Channel Islands,1,FTF + FTT,11051,11051,Spanish,72,14,"$17,727","$44,723","$85,837","$64,496",7,11,50.00%
73,Channel Islands,1,FTF + FTT,11051,11051,Spanish,72,9,,,,,4,12,44.44%
73,Channel Islands,1,FTF + FTT,11051,11051,Spanish,72,6,,,,,1,13,16.67%
73,Channel Islands,1,FTF + FTT,11051,11051,Spanish,72,3,,,,,,14,
73,Channel Islands,1,FTF + FTT,11051,11051,Spanish,72,3,,,,,,15,
73,Channel Islands,1,FTF + FTT,12011,12011,Health Science,146,108,"$15,437","$25,216","$32,220","$26,722",69,1,63.89%
73,Channel Islands,1,FTF + FTT,12011,12011,Health Science,146,67,"$13,210","$35,345","$44,127","$31,370",34,2,50.75%
73,Channel Islands,1,FTF + FTT,12011,12011,Health Science,146,34,,,,,2,3,5.88%
73,Channel Islands,1,FTF + FTT,12011,12011,Health Science,146,31,,,,,,4,
73,Channel Islands,1,FTF + FTT,12011,12011,Health Science,146,31,,,,,,5,
73,Channel Islands,1,FTF + FTT,12011,12011,Health Science,146,31,,,,,,6,
73,Channel Islands,1,FTF + FTT,12011,12011,Health Science,146,31,,,,,,7,
73,Channel Islands,1,FTF + FTT,12011,12011,Health Science,146,31,,,,,,8,
73,Channel Islands,1,FTF + FTT,12011,12011,Health Science,146,31,,,,,,9,
73,Channel Islands,1,FTF + FTT,12011,12011,Health Science,146,31,,,,,,10,
73,Channel Islands,1,FTF + FTT,12011,12011,Health Science,146,31,,,,,,11,
73,Channel Islands,1,FTF + FTT,12011,12011,Health Science,146,31,,,,,,12,
73,Channel Islands,1,FTF + FTT,12011,12011,Health Science,146,31,,,,,,13,
73,Channel Islands,1,FTF + FTT,12011,12011,Health Science,146,31,,,,,,14,
73,Channel Islands,1,FTF + FTT,12011,12011,Health Science,146,31,,,,,,15,
73,Channel Islands,1,FTF + FTT,15011,15011,English,410,387,"$7,448","$18,534","$33,724","$22,687",314,1,81.14%
73,Channel Islands,1,FTF + FTT,15011,15011,English,410,339,"$13,792","$26,726","$42,538","$31,504",274,2,80.83%
73,Channel Islands,1,FTF + FTT,15011,15011,English,410,308,"$16,323","$32,555","$53,881","$37,790",241,3,78.25%
73,Channel Islands,1,FTF + FTT,15011,15011,English,410,270,"$21,211","$38,645","$57,335","$41,857",206,4,76.30%
73,Channel Islands,1,FTF + FTT,15011,15011,English,410,255,"$22,930","$37,790","$59,747","$44,651",183,5,71.76%
73,Channel Islands,1,FTF + FTT,15011,15011,English,410,238,"$21,573","$41,065","$62,270","$44,498",167,6,70.17%
73,Channel Islands,1,FTF + FTT,15011,15011,English,410,222,"$23,032","$43,991","$65,508","$47,242",151,7,68.02%
73,Channel Islands,1,FTF + FTT,15011,15011,English,410,193,"$26,114","$48,521","$67,026","$49,550",122,8,63.21%
73,Channel Islands,1,FTF + FTT,15011,15011,English,410,167,"$31,756","$46,329","$69,518","$53,081",102,9,61.08%
73,Channel Islands,1,FTF + FTT,15011,15011,English,410,138,"$36,792","$55,894","$72,338","$55,430",85,10,61.59%
73,Channel Islands,1,FTF + FTT,15011,15011,English,410,117,"$24,702","$55,759","$75,721","$57,248",71,11,60.68%
73,Channel Islands,1,FTF + FTT,15011,15011,English,410,93,"$36,021","$56,415","$75,100","$61,406",54,12,58.06%
73,Channel Islands,1,FTF + FTT,15011,15011,English,410,66,"$45,564","$54,847","$79,236","$63,045",31,13,46.97%
73,Channel Islands,1,FTF + FTT,15011,15011,English,410,44,"$22,492","$54,282","$69,980","$54,505",20,14,45.45%
73,Channel Islands,1,FTF + FTT,15011,15011,English,410,21,"$9,508","$42,291","$65,544","$56,399",6,15,28.57%
73,Channel Islands,1,FTF + FTT,17011,17011,Mathematics,134,115,"$7,113","$20,296","$40,751","$27,579",83,1,72.17%
73,Channel Islands,1,FTF + FTT,17011,17011,Mathematics,134,106,"$14,228","$36,473","$51,226","$35,934",74,2,69.81%
73,Channel Islands,1,FTF + FTT,17011,17011,Mathematics,134,93,"$17,581","$40,716","$55,543","$39,843",66,3,70.97%
73,Channel Islands,1,FTF + FTT,17011,17011,Mathematics,134,78,"$23,105","$46,253","$64,124","$46,123",48,4,61.54%
73,Channel Islands,1,FTF + FTT,17011,17011,Mathematics,134,76,"$24,450","$51,967","$66,243","$45,815",43,5,56.58%
73,Channel Islands,1,FTF + FTT,17011,17011,Mathematics,134,73,"$27,961","$52,431","$68,780","$50,636",39,6,53.42%
73,Channel Islands,1,FTF + FTT,17011,17011,Mathematics,134,71,"$38,086","$59,007","$71,937","$54,242",38,7,53.52%
73,Channel Islands,1,FTF + FTT,17011,17011,Mathematics,134,64,"$45,438","$61,952","$79,582","$60,360",33,8,51.56%
73,Channel Islands,1,FTF + FTT,17011,17011,Mathematics,134,57,"$44,135","$68,164","$81,813","$65,531",30,9,52.63%
73,Channel Islands,1,FTF + FTT,17011,17011,Mathematics,134,52,"$45,371","$74,988","$93,741","$108,668",29,10,55.77%
73,Channel Islands,1,FTF + FTT,17011,17011,Mathematics,134,43,"$49,228","$72,203","$85,715","$77,497",25,11,58.14%
73,Channel Islands,1,FTF + FTT,17011,17011,Mathematics,134,36,"$49,742","$73,844","$99,074","$85,488",20,12,55.56%
73,Channel Islands,1,FTF + FTT,17011,17011,Mathematics,134,33,"$55,507","$74,231","$100,691","$88,565",16,13,48.48%
73,Channel Islands,1,FTF + FTT,17011,17011,Mathematics,134,24,"$43,471","$81,033","$102,906","$92,524",10,14,41.67%
73,Channel Islands,1,FTF + FTT,17011,17011,Mathematics,134,17,"$41,943","$81,797","$99,965","$106,719",5,15,29.41%
73,Channel Islands,1,FTF + FTT,19025,19025,Applied Physics,25,20,"$13,350","$24,337","$46,179","$28,696",13,1,65.00%
73,Channel Islands,1,FTF + FTT,19025,19025,Applied Physics,25,17,"$12,959","$20,150","$51,350","$32,782",11,2,64.71%
73,Channel Islands,1,FTF + FTT,19025,19025,Applied Physics,25,14,"$3,684","$28,738","$61,402","$33,834",8,3,57.14%
73,Channel Islands,1,FTF + FTT,19025,19025,Applied Physics,25,11,,,,,4,4,36.36%
73,Channel Islands,1,FTF + FTT,19025,19025,Applied Physics,25,9,,,,,2,5,22.22%
73,Channel Islands,1,FTF + FTT,19025,19025,Applied Physics,25,8,,,,,2,6,25.00%
73,Channel Islands,1,FTF + FTT,19025,19025,Applied Physics,25,7,,,,,1,7,14.29%
73,Channel Islands,1,FTF + FTT,19025,19025,Applied Physics,25,6,,,,,,8,
73,Channel Islands,1,FTF + FTT,19025,19025,Applied Physics,25,5,,,,,,9,
73,Channel Islands,1,FTF + FTT,19025,19025,Applied Physics,25,5,,,,,,10,
73,Channel Islands,1,FTF + FTT,19025,19025,Applied Physics,25,5,,,,,,11,
73,Channel Islands,1,FTF + FTT,19025,19025,Applied Physics,25,5,,,,,,12,
